CLAVE,DESCRIP
Q000,Anencefalia
Q001,Craneorraquisquisis
Q002,Iniencefalia
Q010,Encefalocele frontal
Q011,Encefalocele nasofrontal
Q012,Encefalocele occipital
Q018,Encefalocele de otros sitios
Q019,"Encefalocele, no especificado"
Q02X,Microcefalia
Q030,Malformaciones del acueducto de Silvio
Q031,Atresia de los agujeros de Magendie y de Luschka
Q038,Otros hidrocéfalos congénitos
Q039,"Hidrocéfalo congénito, no especificado"
Q040,Malformaciones congénitas del cuerpo calloso
Q041,Arrinencefalia
Q042,Holoprosencefalia
Q043,Otras anomalías hipoplásicas del encéfalo
Q044,Displasia opticoseptal
Q045,Megalencefalia
Q046,Quistes cerebrales congénitos
Q048,"Otras malformaciones congénitas del encéfalo, especificadas"
Q049,"Malformación congénita del encéfalo, no especificada"
Q050,Espina bífida cervical con hidrocéfalo
Q051,Espina bífida torácica con hidrocéfalo
Q052,Espina bífida lumbar con hidrocéfalo
Q053,Espina bífida sacra con hidrocéfalo
Q054,"Espina bífida con hidrocéfalo, sin otra especificación"
Q055,Espina bífida cervical sin hidrocéfalo
Q056,Espina bífida torácica sin hidrocéfalo
Q057,Espina bífida lumbar sin hidrocéfalo
Q058,Espina bífida sacra sin hidrocéfalo
Q059,"Espina bífida, no especificada"
Q060,Amielia
Q061,Hipoplasia y displasia de la médula espinal
Q062,Diastematomielia
Q063,Otras anomalías congénitas de la cola de caballo
Q064,Hidromielia
Q068,Otras malformaciones congénitas especificadas de la médula espinal
Q069,"Malformación congénita de la médula espinal, no especificada"
Q070,Síndrome de Arnold-Chiari
Q078,"Otras malformaciones congénitas del sistema nervioso, especificadas"
Q079,"Otras malformaciones congénitas del sistema nervioso, no especificada"
Q100,Blefaroptosis congénita
Q101,Ectropión congénito
Q102,Entropión congénito
Q103,Otras malformaciones congénitas de los párpados
Q104,Ausencia y agenesia del aparato lagrimal
Q105,Estenosis y estrechez congénitas del conducto lagrimal
Q106,Otras malformaciones congénitas del aparato lagrimal
Q107,Malformación congénita de la órbita
Q110,Globo ocular quístico
Q111,Otras anoftalmías
Q112,Microftalmía
Q113,Macroftalmía
Q120,Catarata congénita
Q121,Desplazamiento congénito del cristalino
Q122,Coloboma del cristalino
Q123,Afaquia congénita
Q124,Esferofaquia
Q128,Otras malformaciones congénitas del cristalino
Q129,"Malformación congénita del cristalino, no especificada"
Q130,Coloboma del iris
Q131,Ausencia del iris
Q132,Otras malformaciones congénitas del iris
Q133,Opacidad corneal congénita
Q134,Otras malformaciones congénitas de la córnea
Q135,Esclerótica azul
Q138,Otras malformaciones congénitas del segmento anterior del ojo
Q139,"Malformación congénita del segmento anterior del ojo, no especificada"
Q140,Malformación congénita del humor vítreo
Q141,Malformación congénita de la retina
Q142,Malformación congénita del disco óptico
Q143,Malformación congénita de la coroides
Q148,Otras Malformaciones congénitas del segmento posterior del ojo
Q149,"Malformación congénita del segmento posterior del ojo, no especificada"
Q150,Glaucoma congénito
Q158,"Otras malformaciones congénitas del ojo, especificadas"
Q159,"Malformaciones congénitas del ojo, no especificadas"
Q160,Ausencia congénita del pabellón (de la oreja)
Q161,"Ausencia congénita, atresia o estrechez del conducto auditivo (externo)"
Q162,Ausencia de la trompa de Eustaquio
Q163,Malformación congénita de los huesecillos del oído
Q164,Otras malformaciones congénitas del oído medio
Q165,Malformación congénita del oído interno
Q169,"Malformación congénita del oído que causa alteración de la audición, sin otra especificación"
Q170,Oreja supernumeraria
Q171,Macrotia
Q172,Microtia
Q173,Otras deformidades del pabellón auricular
Q174,Anomalía de la posición de la oreja
Q175,Oreja prominente
Q178,"Otras malformaciones congénitas del oído, especificadas"
Q179,"Malformación congénita del oído, no especificada"
Q180,"Seno, fístula o quiste de la hendidura branquial"
Q181,Seno y quiste preauricular
Q182,Otras malformaciones de las hendiduras branquiales
Q183,Pterigión del cuello
Q184,Macrostomía
Q185,Microstomía
Q186,Macroqueilia
Q187,Microqueilia
Q188,Otras malformaciones congénitas especificadas de cara y cuello
Q189,"Malformación congénita de la cara y del cuello, no especificada"
Q200,Tronco arterioso común
Q201,Transposición de los grandes vasos en ventrículo derecho
Q202,Transposición de los grandes vasos en ventrículo izquierdo
Q203,Discordancia de la conexión ventriculoarterial
Q204,Ventrículo con doble entrada
Q205,Discordancia de la conexión auriculoventricular
Q206,Isomerismo de los apéndices auriculares
Q208,Otras malformaciones congénitas de las cámaras cardíacas y sus conexiones
Q209,"Malformación congénita de las cámaras cardíacas y sus conexiones, no especificada"
Q210,Defecto del tabique ventricular
Q211,Defecto del tabique auricular
Q212,Defecto del tabique auriculoventricular
Q213,Tetralogía de Fallot
Q214,Defecto del tabique aortopulmonar
Q218,Otras malformaciones congénitas de los tabiques cardíacos
Q219,"Malformación congénita del tabique cardíaco, no especificada"
Q220,Atresia de la válvula pulmonar
Q221,Estenosis congénita de la válvula pulmonar
Q222,Insuficiencia congénita de la válvula pulmonar
Q223,Otras malformaciones congénitas de la válvula pulmonar
Q224,Estenosis congénita de la válvula tricúspide
Q225,Anomalía de Ebstein
Q226,Síndrome de hipoplasia del corazón derecho
Q228,Otras malformaciones congénitas de la válvula tricúspide
Q229,"Malformación congénita de la válvula tricúspide, no especificada"
Q230,Estenosis congénita de la válvula aórtica
Q231,Insuficiencia congénita de la válvula aórtica
Q232,Estenosis mitral congénita
Q233,Insuficiencia mitral congénita
Q234,Síndrome de hipoplasia del corazón izquierdo
Q238,Otras malformaciones congénitas de las válvulas aórtica y mitral
