cve_ent,cve_mun,cve_loc,nom_loc
1,0,0,Aguascalientes
1,1,0,Aguascalientes
1,1,1,Aguascalientes
1,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,1,9999,Localidad no especificada
1,2,0,Asientos
1,2,1,Asientos
1,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,2,9999,Localidad no especificada
1,3,0,Calvillo
1,3,1,Calvillo
1,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,4,0,Cosío
1,4,1,Cosío
1,4,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,5,0,Jesús María
1,5,1,Jesús María
1,5,469,Jesús María [Ejido]
1,5,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,6,0,Pabellón de Arteaga
1,6,1,Pabellón de Arteaga
1,6,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,7,0,Rincón de Romos
1,7,1,Rincón de Romos
1,7,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,8,0,San José de Gracia
1,8,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,9,0,Tepezalá
1,9,1,Tepezalá
1,9,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,10,0,El Llano
1,10,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,11,0,San Francisco de los Romo
1,11,1,San Francisco de los Romo
1,11,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,0,0,Baja California
2,1,0,Ensenada
2,1,1,Ensenada
2,1,139,Rodolfo Sánchez Taboada (Maneadero)
2,1,2693,Ejido Ensenada
2,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,1,9999,Localidad no especificada
2,2,0,Mexicali
2,2,1,Mexicali
2,2,185,Ciudad Guadalupe Victoria (Kilómetro Cuarenta y Tres)
2,2,231,Ciudad Morelos (Cuervos)
2,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,2,9999,Localidad no especificada
2,3,0,Tecate
2,3,1,Tecate
2,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,4,0,Tijuana
2,4,1,Tijuana
2,4,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,4,9999,Localidad no especificada
2,5,0,Playas de Rosarito
2,5,1,Playas de Rosarito
2,5,9999,Localidad no especificada
2,6,0,San Quintín
2,6,1,San Quintín
2,6,40,Camalú
2,6,863,Vicente Guerrero
2,6,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,6,9999,Localidad no especificada
3,0,0,Baja California Sur
3,1,0,Comondú
3,1,1,Ciudad Constitución
3,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
3,2,0,Mulegé
3,2,1,Santa Rosalía
3,2,66,Guerrero Negro
3,2,482,Villa Alberto Andrés Alvarado Arámburo
3,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
3,2,9999,Localidad no especificada
3,3,0,La Paz
3,3,1,La Paz
3,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
3,8,0,Los Cabos
3,8,1,San José del Cabo
3,8,54,Cabo San Lucas
3,8,9999,Localidad no especificada
3,9,0,Loreto
3,9,1,Loreto
3,9,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,0,0,Campeche
4,1,0,Calkiní
4,1,1,Calkiní
4,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,2,0,Campeche
