CVE,DESCRIP
0,Cero consultas
1,Una consulta
2,Dos consultas
3,Tres consultas
4,Cuatro consultas
5,Cinco consultas
6,Seis consultas
7,Siete consultas
8,Ocho consultas
9,Nueve consultas
10,Diez consultas
11,Once consultas
12,Doce consultas
13,Trece consultas
14,Catorce consultas
15,Quince consultas
16,Dieciséis consultas
17,Diecisiete consultas
18,Dieciocho consultas
19,Diecinueve consultas
20,Veinte consultas
21,Veintiún consultas
22,Veintidós consultas
23,Veintitrés consultas
24,Veinticuatro consultas
25,Veinticinco consultas
98,Si recibió atención prenatal pero no se especificó el número de consultas recibidas
99,No especificada 
