CVE,DESCRIP
10,Diez años                      
11,Once años                      
12,Doce años                      
13,Trece años                     
14,Catorce años                   
15,Quince años                    
16,Dieciséis años                 
17,Diecisiete años                
18,Dieciocho años                 
19,Diecinueve años                
20,Veinte años                    
21,Veintiún años                  
22,Veintidós años                 
23,Veintitrés años                
24,Veinticuatro años              
25,Veinticinco años               
26,Veintiséis años                
27,Veintisiete años               
28,Veintiocho años                
29,Veintinueve años               
30,Treinta años                   
31,Treinta y un años              
32,Treinta y dos años             
33,Treinta y tres años            
34,Treinta y cuatro años          
35,Treinta y cinco años           
36,Treinta y seis años            
37,Treinta y siete años           
38,Treinta y ocho años            
39,Treinta y nueve años           
40,Cuarenta años                  
41,Cuarenta y un años             
42,Cuarenta y dos años            
43,Cuarenta y tres años           
44,Cuarenta y cuatro años         
45,Cuarenta y cinco años          
46,Cuarenta y seis años           
47,Cuarenta y siete años          
48,Cuarenta y ocho años           
49,Cuarenta y nueve años          
50,Cincuenta años  
51,Cincuenta y un años
52,Cincuenta y dos años
53,Cincuenta y tres años
54,Cincuenta y cuatro años          
99,Edad no especificada   
