CVE,DESCRIP
0,Ningún embarazo
1,1 embarazo
2,2 embarazos
3,3 embarazos
4,4 embarazos
5,5 embarazos
6,6 embarazos
7,7 embarazos
8,8 embarazos
9,9 embarazos
10,10 embarazos
11,11 embarazos
12,12 embarazos
13,13 embarazos
14,14 embarazos
15,15 embarazos
16,16 embarazos
17,17 embarazos
18,18 embarazos
19,19 embarazos
20,20 embarazos
21,21 embarazos
22,22 embarazos
23,23 embarazos
24,24 embarazos
25,25 embarazos
98,Si hubo embarazo sin especificación del total
99,Embarazos no especificados
